,Report Time,Time,Home Team,Away Team,Home Max,Away Max,Margin,Max Home Operator,Max Away Operator
0,2020-02-05 00:39,02:30,New Orleans Pelicans,Milwaukee Bucks,3.2,1.43,-1.180069930069938,Cbet HW,TOPsport AW
1,2020-02-05 00:39,03:00,Houston Rockets,Charlotte Hornets,1.1,9.03,-1.9832880297996556,TOPsport HW,Optibet AW
2,2020-02-05 00:39,04:00,Denver Nuggets,Portland Trail Blazers,1.56,2.6,-2.564102564102555,TOPsport HW,TOPsport AW
3,2020-02-05 00:39,05:00,Los Angeles Lakers,San Antonio Spurs,1.14,7.0,-2.005012531328326,Cbet HW,TOPsport AW
