,Report Time,Time,Home Team,Away Team,TOPsport HW,TOPsport AW,Optibet HW,Optibet AW,Cbet HW,Cbet AW,Olybet HW,Olybet AW,Unibet HW,Unibet AW
0,2020-02-05 00:39,02:30,New Orleans Pelicans,Milwaukee Bucks,3.05,1.43,3.06,1.36,3.20,1.40,,,3.15,1.38
1,2020-02-05 00:39,03:00,Houston Rockets,Charlotte Hornets,1.10,8.25,1.05,9.03,,,,,1.10,8.00
2,2020-02-05 00:39,04:00,Denver Nuggets,Portland Trail Blazers,1.56,2.60,1.52,2.49,,,,,1.53,2.60
3,2020-02-05 00:39,05:00,Los Angeles Lakers,San Antonio Spurs,1.11,7.00,1.10,6.58,1.14,6.50,,,1.13,6.75
