,Report Time,Time,Home Team,Away Team,Home Max,Away Max,Margin,Max Home Operator,Max Away Operator
3,2020-01-30 15:08,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:08,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:08,05:30,Denver Nuggets,Utah Jazz,1.84,2.07,-2.657004830917875,TOPsport HW,Olybet AW
0,2020-01-30 15:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:16,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:16,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:16,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:24,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:24,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:24,05:30,Denver Nuggets,Utah Jazz,1.84,2.07,-2.657004830917875,TOPsport HW,Olybet AW
0,2020-01-30 15:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.75,1.32,-2.4242424242424176,Cbet HW,TOPsport AW
3,2020-01-30 15:32,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:32,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.35,0.1876612714051068,TOPsport HW,Optibet AW
5,2020-01-30 15:32,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:40,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.34,-1.8007787151200438,TOPsport HW,Cbet AW
3,2020-01-30 15:40,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:40,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:40,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 15:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 15:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 15:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.34,-1.8007787151200438,TOPsport HW,Cbet AW
3,2020-01-30 15:48,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 15:48,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 15:48,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,-2.891515407344869,TOPsport HW,TOPsport AW
0,2020-01-30 16:13,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:13,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:13,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:13,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Olybet AW
4,2020-01-30 16:13,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 16:13,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Betsafe AW
0,2020-01-30 16:14,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:14,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:14,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:14,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:14,05:30,Los Angeles Clippers,Sacramento Kings,1.16,7.19,-0.11510239317059634,TOPsport HW,Optibet AW
5,2020-01-30 16:14,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Betsafe AW
0,2020-01-30 16:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:16,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Olybet AW
4,2020-01-30 16:16,05:30,Los Angeles Clippers,Sacramento Kings,1.16,8.5,2.028397565922915,TOPsport HW,Olybet AW
5,2020-01-30 16:16,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:24,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:24,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:24,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.6,-1.3546202225447446,TOPsport HW,Cbet AW
2,2020-01-30 16:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.35,-1.2479871175523294,TOPsport HW,Cbet AW
3,2020-01-30 16:32,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:32,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:32,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 16:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 16:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.55,1.35,-2.243088158581119,Unibet HW,TOPsport AW
3,2020-01-30 16:48,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:48,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:48,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 16:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.46,1.19,-2.348631760396469,Optibet HW,TOPsport AW
1,2020-01-30 16:56,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 16:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.55,1.35,-2.243088158581119,Unibet HW,TOPsport AW
3,2020-01-30 16:56,03:00,Boston Celtics,Golden State Warriors,1.16,8.0,1.2931034482758563,TOPsport HW,Unibet AW
4,2020-01-30 16:56,05:30,Los Angeles Clippers,Sacramento Kings,1.16,9.5,3.2667876588021727,TOPsport HW,Unibet AW
5,2020-01-30 16:56,05:30,Denver Nuggets,Utah Jazz,1.84,2.1,-1.9668737060041352,TOPsport HW,Cbet AW
0,2020-01-30 17:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:40,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 17:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:40,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:40,05:30,Los Angeles Clippers,Sacramento Kings,1.16,8.83,2.468075135705075,TOPsport HW,Optibet AW
5,2020-01-30 17:40,05:30,Denver Nuggets,Utah Jazz,1.85,2.06,-2.597743374442396,Cbet HW,TOPsport AW
0,2020-01-30 17:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.52,-2.575621443545967,TOPsport HW,Betsafe AW
2,2020-01-30 17:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:48,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:48,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 17:48,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 17:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 17:56,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 17:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 17:56,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 17:56,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 17:56,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:00,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:00,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:00,02:30,Atlanta Hawks,Philadelphia 76ers,3.45,1.35,-3.059581320450877,Cbet HW,TOPsport AW
3,2020-01-30 18:00,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 18:00,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:00,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:08,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.35,-3.9248203427307837,TOPsport HW,TOPsport AW
3,2020-01-30 18:08,03:00,Boston Celtics,Golden State Warriors,1.12,7.81,-2.0898115968538438,TOPsport HW,Optibet AW
4,2020-01-30 18:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:08,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:16,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.37,-2.8434469985837207,TOPsport HW,Cbet AW
3,2020-01-30 18:16,03:00,Boston Celtics,Golden State Warriors,1.12,7.87,-1.9921945906698073,TOPsport HW,Optibet AW
4,2020-01-30 18:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:16,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 18:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 18:24,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 18:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.35,1.37,-2.8434469985837207,TOPsport HW,Cbet AW
3,2020-01-30 18:24,03:00,Boston Celtics,Golden State Warriors,1.12,7.82,-2.0734380708805205,TOPsport HW,Optibet AW
4,2020-01-30 18:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.83,-2.2341192216616874,TOPsport HW,Optibet AW
5,2020-01-30 18:24,05:30,Denver Nuggets,Utah Jazz,1.87,2.06,-2.019625149265347,Cbet HW,TOPsport AW
0,2020-01-30 20:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:08,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:08,03:00,Boston Celtics,Golden State Warriors,1.12,8.55,-0.9816207184628167,TOPsport HW,Cbet AW
4,2020-01-30 20:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:08,05:30,Denver Nuggets,Utah Jazz,1.92,2.06,-0.6270226537216872,Betsafe HW,TOPsport AW
0,2020-01-30 20:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:16,03:00,Boston Celtics,Golden State Warriors,1.12,8.98,-0.4215717467387775,TOPsport HW,Optibet AW
4,2020-01-30 20:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:16,05:30,Denver Nuggets,Utah Jazz,1.93,2.06,-0.3571608229790302,Betsafe HW,TOPsport AW
0,2020-01-30 20:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:24,03:00,Boston Celtics,Golden State Warriors,1.12,8.97,-0.4339863035515132,TOPsport HW,Optibet AW
4,2020-01-30 20:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:24,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 20:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.42,1.19,-2.4837979472231653,Optibet HW,TOPsport AW
1,2020-01-30 20:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:32,03:00,Boston Celtics,Golden State Warriors,1.12,8.8,-0.6493506493506427,TOPsport HW,Optibet AW
4,2020-01-30 20:32,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:32,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Betsafe HW,TOPsport AW
0,2020-01-30 20:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 20:48,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:48,03:00,Boston Celtics,Golden State Warriors,1.12,8.76,-0.7012393998695312,TOPsport HW,Optibet AW
4,2020-01-30 20:48,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:48,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 20:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 20:56,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 20:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 20:56,03:00,Boston Celtics,Golden State Warriors,1.12,8.76,-0.7012393998695312,TOPsport HW,Optibet AW
4,2020-01-30 20:56,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 20:56,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Betsafe HW,TOPsport AW
0,2020-01-30 21:00,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 21:00,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 21:00,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 21:00,03:00,Boston Celtics,Golden State Warriors,1.12,8.76,-0.7012393998695312,TOPsport HW,Optibet AW
4,2020-01-30 21:00,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 21:00,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Betsafe HW,TOPsport AW
0,2020-01-30 21:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 21:08,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 21:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 21:08,03:00,Boston Celtics,Golden State Warriors,1.12,8.76,-0.7012393998695312,TOPsport HW,Optibet AW
4,2020-01-30 21:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 21:08,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 21:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 21:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 21:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 21:16,03:00,Boston Celtics,Golden State Warriors,1.12,8.76,-0.7012393998695312,TOPsport HW,Optibet AW
4,2020-01-30 21:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 21:16,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 21:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 21:24,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 21:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,Cbet AW
3,2020-01-30 21:24,03:00,Boston Celtics,Golden State Warriors,1.11,8.76,-1.5056152042453321,TOPsport HW,Optibet AW
4,2020-01-30 21:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 21:24,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 21:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.19,-2.5521319638966644,Unibet HW,TOPsport AW
1,2020-01-30 21:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 21:32,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,TOPsport AW
3,2020-01-30 21:32,03:00,Boston Celtics,Golden State Warriors,1.11,8.76,-1.5056152042453321,TOPsport HW,Optibet AW
4,2020-01-30 21:32,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.67,-2.443116283946731,TOPsport HW,Optibet AW
5,2020-01-30 21:32,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 22:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.2,-1.851851851851849,Unibet HW,Cbet AW
1,2020-01-30 22:08,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 22:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,TOPsport AW
3,2020-01-30 22:08,03:00,Boston Celtics,Golden State Warriors,1.11,8.81,-1.4408278880469472,TOPsport HW,Optibet AW
4,2020-01-30 22:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.73,-2.3638446318858657,TOPsport HW,Optibet AW
5,2020-01-30 22:08,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 22:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.2,-1.851851851851849,Unibet HW,Cbet AW
1,2020-01-30 22:16,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 22:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,TOPsport AW
3,2020-01-30 22:16,03:00,Boston Celtics,Golden State Warriors,1.11,8.81,-1.4408278880469472,TOPsport HW,Optibet AW
4,2020-01-30 22:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.73,-2.3638446318858657,TOPsport HW,Optibet AW
5,2020-01-30 22:16,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 22:31,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.2,-1.851851851851849,Unibet HW,Cbet AW
1,2020-01-30 22:31,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
2,2020-01-30 22:31,02:30,Atlanta Hawks,Philadelphia 76ers,3.4,1.36,-2.941176470588236,Cbet HW,TOPsport AW
3,2020-01-30 22:31,03:00,Boston Celtics,Golden State Warriors,1.11,8.81,-1.4408278880469472,TOPsport HW,Optibet AW
4,2020-01-30 22:31,05:30,Los Angeles Clippers,Sacramento Kings,1.1,8.73,-2.3638446318858657,TOPsport HW,Optibet AW
5,2020-01-30 22:31,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 22:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.2,-1.851851851851849,Unibet HW,Cbet AW
1,2020-01-30 22:32,02:00,Washington Wizards,Charlotte Hornets,1.59,2.55,-2.1087680355160954,TOPsport HW,Cbet AW
